epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,167.901,0.8029,1.1587,0.94182,1.07675,0.56685,0.6206,0.59916,0.42613,0.56685,0.6206,0.56983,0.37896,1.2823,4.08234,1.91994,1.88117,0.00101873,0.00101873,0.00101873
31,173.472,0.81637,1.22207,0.97305,1.09962,0.78197,0.60714,0.59324,0.43749,0.78197,0.60714,0.59169,0.41953,1.23581,3.5516,2.9125,1.65922,0.00100459,0.00100459,0.00100459
32,179.216,0.77529,1.12018,0.85441,1.06145,0.70985,0.75137,0.78695,0.56608,0.70985,0.75137,0.78695,0.52983,1.1195,2.81156,1.51475,1.36268,0.00099044,0.00099044,0.00099044
33,184.576,0.85444,1.32192,1.00396,1.11799,0.82267,0.80879,0.87517,0.62252,0.82267,0.80879,0.85183,0.51906,1.03825,2.55559,1.30032,1.36251,0.000976293,0.000976293,0.000976293
34,190.319,0.8024,1.19216,0.87723,1.0846,0.86042,0.81164,0.85976,0.62215,0.86042,0.81164,0.84076,0.55859,1.08161,2.60898,1.42503,1.35583,0.000962146,0.000962146,0.000962146
35,195.676,0.83924,1.28878,0.86977,1.07531,0.81699,0.75,0.81617,0.56791,0.81699,0.75,0.81617,0.55458,1.11582,2.57008,1.39159,1.38004,0.000947999,0.000947999,0.000947999
36,201.318,0.7308,1.18321,0.96888,1.05729,0.43331,0.71088,0.70932,0.51442,0.43331,0.71088,0.71749,0.45023,1.07494,2.38844,1.55807,1.47353,0.000933851,0.000933851,0.000933851
37,206.682,0.79089,1.23802,0.91127,1.07664,0.84503,0.89075,0.9487,0.69431,0.84503,0.89075,0.9487,0.63016,1.08546,2.39344,1.08413,1.44662,0.000919704,0.000919704,0.000919704
38,212.396,0.73512,1.14166,0.89077,1.05109,0.72925,0.95238,0.95583,0.68355,0.72925,0.95238,0.91531,0.6322,1.03132,3.17886,1.36602,1.39514,0.000905557,0.000905557,0.000905557
39,217.876,0.77083,1.2399,0.92564,1.08801,0.81654,0.84954,0.89252,0.64105,0.81654,0.84954,0.88753,0.63869,0.96022,2.91337,1.70985,1.34912,0.00089141,0.00089141,0.00089141
40,223.527,0.81967,1.23066,0.97785,1.09156,0.85921,0.87934,0.92588,0.68438,0.85921,0.87934,0.92588,0.66791,1.01305,2.89688,1.39159,1.34723,0.000877263,0.000877263,0.000877263
41,229.052,0.8186,1.15467,1.03178,1.10979,0.76668,0.68949,0.65301,0.45744,0.76668,0.68949,0.65301,0.46612,1.01858,3.13734,1.46845,1.32639,0.000863116,0.000863116,0.000863116
42,234.351,0.80588,1.15354,0.95927,1.07703,0.76306,0.73665,0.6743,0.48245,0.76306,0.73665,0.6743,0.44604,1.03829,2.87147,1.36694,1.35013,0.000848969,0.000848969,0.000848969
43,240.688,0.74912,1.12231,0.87395,1.05925,0.93303,0.90476,0.95844,0.73093,0.93303,0.90476,0.95844,0.69028,1.11715,2.4172,0.89761,1.47359,0.000834822,0.000834822,0.000834822
44,248.095,0.76947,1.2531,0.81573,1.09826,0.94286,0.95238,0.94927,0.73565,0.94286,0.95238,0.94874,0.72458,1.06963,2.75359,0.88946,1.36805,0.000820675,0.000820675,0.000820675
45,255.944,0.75084,1.17848,0.80793,1.03595,0.92284,0.93524,0.94909,0.67288,0.92284,0.93524,0.94909,0.62489,1.26663,2.77272,1.03093,1.51682,0.000806528,0.000806528,0.000806528
46,263.302,0.71548,1.06281,0.80903,1.02926,0.85226,0.94741,0.87861,0.602,0.85226,0.94741,0.87861,0.52565,1.13226,2.63461,0.87998,1.38063,0.00079238,0.00079238,0.00079238
47,269.587,0.74558,1.104,0.78209,1.03442,0.91171,0.95238,0.96254,0.73032,0.91171,0.95238,0.94993,0.66053,1.02135,2.56351,0.82514,1.31738,0.000778233,0.000778233,0.000778233
